male | cat | 12
male | Cats | 18
male | dog | 23
girl | Dogs | 30
| dogs | 31
female | Dog | 24
girl | dogs | 31
male | Dog | 13
female | dogs | 25
female | dog | 31
girl | dogs | 30
| Cats | 30
boy | dog | 17
boy | Cats | 16
| cat | 31
female | Cat | 29
| dog | 17
| dog | 27
girl | Cat | 18
girl | cats | 24
female | dog | 21
boy | cats | 31
female | Dogs | 25
boy | Dog | 18
| cats | 20
| dog | 28
boy | cats | 14
girl | cat | 23
boy | dogs | 28
female | cat | 11
female | cat | 15
male | Cat | 16
boy | Dog | 27
male | Dogs | 13
male | Dogs | 28
| Cats | 12
male | Cats | 18
male | dog | 12
female | cats | 11
girl | dogs | 17
male | dogs | 11
| cat | 26
| cat | 29
female | dog | 24
boy | cat | 16
female | cat | 21
boy | Cat | 11
girl | Dog | 25
| Dogs | 24
girl | cats | 14
female | dogs | 30
female | cats | 10
boy | dog | 30
boy | Cats | 12
female | cat | 17
boy | cat | 21
girl | Dog | 21
male | Cats | 18
male | Dog | 25
female | cats | 15
girl | dogs | 26
female | cats | 25
boy | cats | 20
girl | cat | 16
male | cat | 14
male | Cat | 11
girl | cats | 15
male | cat | 10
female | dogs | 12
male | Cats | 23
| Cat | 16
boy | cats | 16
female | Cat | 13
| Cat | 19
male | Dogs | 11
girl | Cats | 16
female | cats | 13
girl | Dog | 23
girl | Cat | 14
boy | cat | 19
female | dogs | 14
male | dogs | 31
female | cats | 21
boy | cats | 24
| Cats | 17
boy | cat | 24
boy | Cats | 21
male | Dogs | 26
girl | cat | 27
girl | cats | 28
female | Cats | 11
girl | cat | 10
girl | cats | 29
male | Cats | 13
| Cat | 13
girl | Dogs | 31
girl | Cats | 20
female | dogs | 29
male | Dog | 27
male | dog | 28
male | cat | 13
| dogs | 18
boy | dog | 18
boy | dog | 15
female | cats | 10
male | dogs | 18
boy | Dogs | 16
boy | dog | 10
male | Cats | 18
girl | Cats | 18
male | Dog | 28
girl | Dogs | 18
female | Cat | 11
girl | dogs | 20
boy | cats | 16
girl | Cats | 25
male | cats | 31
boy | dogs | 17
boy | Dog | 19
boy | Cat | 20
male | Dog | 10
girl | Dogs | 11
| dogs | 15
female | cats | 20
boy | dogs | 12
female | Cats | 21
male | dog | 15
male | Cats | 29
male | Dogs | 18
boy | Dog | 29
| cat | 15
female | Cats | 15
girl | cat | 12
female | dog | 29
boy | Dog | 16
male | Dogs | 15
male | Dog | 19
female | Dogs | 17
boy | Cat | 23
| Dog | 22
male | Dog | 21
male | Dogs | 25
female | Dog | 28
male | cats | 29
| Dog | 12
girl | Dogs | 16
boy | Dog | 11
male | cat | 27
| cats | 12
girl | Dog | 10
male | Dog | 15
male | Cat | 13
girl | dogs | 27
girl | dog | 17
girl | cats | 26
| dogs | 22
girl | Cat | 13
female | Cats | 14
male | Cat | 24
boy | Cat | 21
girl | Dog | 23
girl | cats | 12
male | cats | 30
boy | dog | 11
male | cat | 16
girl | dog | 27
female | Cat | 15
male | Cats | 30
boy | cat | 15
| cats | 15
| Cat | 25
girl | Cat | 19
boy | dog | 21
girl | Cat | 14
female | Cat | 18
female | cat | 31
female | cats | 17
male | Dogs | 14
girl | dogs | 30
female | Cat | 17
boy | Dog | 10
female | Cat | 15
| dog | 29
girl | dogs | 10
female | cat | 14
female | Dog | 30
girl | Cats | 14
male | Cat | 27
female | Dog | 25
male | cat | 13
female | Cats | 27
| cat | 28
| dogs | 10
girl | Dog | 10
girl | Cat | 15
male | Dog | 14
male | dog | 27
boy | Cats | 14
girl | cats | 29
girl | cat | 18
girl | Cat | 27
boy | dogs | 10
boy | dogs | 30
| Cats | 25
female | Dog | 25
girl | cats | 26
boy | Dog | 30
girl | Dog | 20
boy | Dogs | 31
female | cat | 25
boy | Cat | 23
girl | dog | 18
girl | dog | 22
male | dog | 29
girl | dog | 15
male | Dog | 17
girl | Dogs | 21
girl | dogs | 16
girl | dog | 13
male | dog | 27
girl | Cats | 30
female | Dog | 24
female | cats | 18
| Dog | 24
male | cat | 31
male | cat | 27
girl | Cat | 26
female | dogs | 25
female | Dog | 30
girl | Dog | 12
female | cat | 24
girl | cats | 21
male | dogs | 13
female | dogs | 22
female | Cats | 30
male | Dogs | 28
| Cats | 25
female | dogs | 19
boy | dogs | 10
girl | Dogs | 18
girl | dogs | 28
| dogs | 20
girl | cat | 16
| Cats | 16
boy | dogs | 21
female | Dog | 29
female | cats | 22
| cat | 12
| Dog | 30
girl | Cat | 31
girl | Cat | 19
male | Cat | 26
boy | Dog | 11
male | Dogs | 27
boy | cats | 17
female | Dog | 23
male | Cat | 13
girl | dog | 12
female | cat | 24
male | Dogs | 30
male | Cat | 20
female | Dogs | 10
female | dogs | 30
male | cats | 24
boy | cat | 25
female | dogs | 13
boy | cat | 18
boy | dogs | 26
female | Cats | 22
girl | Dog | 13
female | dog | 23
boy | dog | 21
male | dogs | 12
girl | cat | 25
girl | dogs | 26
| Cat | 13
male | Cat | 31
boy | Dogs | 13
| Dogs | 11
male | cats | 27
girl | dogs | 14
| cats | 12
female | Cats | 19
female | Cats | 22
female | Cats | 15
boy | Dogs | 27
female | cat | 10
female | dogs | 23
female | Cat | 25
boy | dogs | 29
female | cats | 18
girl | cats | 25
boy | Dog | 26
boy | Cat | 24
female | cats | 13
female | Dogs | 15
boy | cats | 17
male | dog | 21
male | dogs | 27
male | Dog | 25
girl | Dogs | 18
male | Dog | 20
boy | dogs | 23
girl | cat | 18
female | cat | 27
male | dogs | 15
girl | cats | 11
girl | cats | 26
| dogs | 17
female | cats | 12
female | dogs | 23
girl | Cats | 28
female | cat | 18
girl | Cats | 17
male | Cats | 14
male | Cat | 26
girl | Cats | 28
boy | cats | 12
| Cat | 20
male | Cat | 14
female | Cats | 23
male | Dogs | 22
male | Dog | 23
boy | cat | 27
male | dog | 20
boy | cats | 22
male | dogs | 23
girl | Dog | 23
female | Dog | 21
boy | Dog | 30
male | Cat | 25
girl | dogs | 17
boy | dogs | 15
girl | Cats | 30
| dog | 20
male | Cat | 12
boy | Dogs | 17
| dogs | 22
girl | Dog | 13
male | Cats | 25
girl | Cat | 17
girl | cats | 11
girl | dogs | 12
female | Dogs | 15
male | Dogs | 21
girl | cats | 14
male | dogs | 12
male | dogs | 29
| Cat | 27
boy | cat | 30
boy | Cat | 27
girl | Dogs | 18
girl | dog | 13
| cat | 13
girl | Cats | 16
boy | dog | 14
female | dogs | 10
female | dog | 21
boy | Dogs | 27
female | cat | 15
| cats | 30
girl | Dogs | 25
boy | Cat | 14
boy | Dog | 18
female | dogs | 25
| Cat | 15
female | dog | 23
female | Dogs | 14
male | cat | 20
male | cat | 23
girl | dog | 28
